Year,Company Name,Country,Industry Exiobase,% Total Environmental Intensity -Revenue,% Total Environmental Intensity -Operating Income,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity Drinking water & Irrigation Water,Wood Production Capacity,% Imputed,Total Environmental Cost
2016,LITE-ON TECHNOLOGY CORPORATION,Taiwan,Manufacture of office machinery and computers 30,-1.74,-31.47,118923639,-27204,1580218,369506,"-4,941","-3,425",2610852,-92,0,123519877
2013,DRAX GROUP PLC,United Kingdom,Production of electricity by hydro,-145.67,-1818.35,4807449516,1678472,63996819,15075956,249297,"-92,926",87740590,1197860,0,4975085716
2017,ELDORADO GOLD CORPORATION,Canada,Mining of other non-ferrous metal ores and concentrates,-11.29,-439.85,42329277,-16242,516562,123293,"-2,047","-34,802",14196906,"5,224",15,57213907
2015,TRYG A/S,Denmark,Insurance and pension fundingexcept compulsory social security 66,-0.05,-0.34,1329894,-338,"-17,190","-4,020",-58,-342,"-7,067",79,4,1358829
2018,ONTEX GROUP NV,Belgium,Chemicals nec,-0.67,-8.87,17062770,-15254,428650,"12,825",-820,"-30,449",201662,"13,332",15,17713448
2014,TOYOBO CO LTD,Japan,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-11.7,-188.26,299736812,-86492,3971640,932149,"-13,865","-28,028",38209802,"33,254",1,342945534
2013,DEUTSCHE BOERSE AG,Germany,Activities auxiliary to financial intermediation 67,-0.15,-0.42,4469828,-1017,"-58,975","-13,813",-185,"-3,924","-35,485",-10,2,4583238
2010,INDEPENDENCE GROUP NL,Australia,Quarrying of sand and clay,-7.15,-17.26,3132060,-2778,"-39,268","-9,415",-284,"-4,169",4964016,"3,621",3,8148369
2018,WEIS MARKETS INC,United States,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-2.57,-107.89,88227132,-20653,1173693,275119,"-3,726","-2,728",483769,"1,422",2,90185397
2011,OSAKA TITANIUM TECHNOLOGIES CO.LIMITED.,Japan,Quarrying of sand and clay,-11.33,0,47541455,-11377,631733,148165,"-2,018","-1,044",1384310,940,1,49719161
2011,DEUTSCHE BOERSE AG,Germany,Activities auxiliary to financial intermediation 67,-0.25,-0.55,7029697,-1602,"-92,991","-21,787",-292,"-4,166",169477,-11,1,7320023
2013,OGE ENERGY CORPORATION,United States,Production of electricity nec,-232.33,-1203.7,6518132114,1522782,86503225,20267163,274796,228181,35637478,"97,513",1,6662468226
2013,JULIUS BAER GRUPPE AG,Switzerland,Financial intermediationexcept insurance and pension funding 65,-0.06,-0.62,1650726,-512,"-21,582","-5,031",-83,"-1,029","-22,414",396,15,1700981
2018,CHINA RESOURCES CEMENT HOLDINGS LTD,Hong Kong,Quarrying of sand and clay,-365.93,-1303.48,17181243580,4331417,229860797,53845664,761353,247631,656415985,1220539,0,18125485888
2014,SUZUKI MOTOR CORPORATION,Japan,Manufacture of motor vehiclestrailers and semi-trailers 34,-0.91,-14.28,217134973,-54808,2915453,649266,"-9,616","-44,418",2019859,"21,027",3,222807367
2011,HYATT HOTELS CORPORATION,United States,Other service activities 93,-20.85,-304.32,428690906,-98236,5700056,1335664,"-17,862","-2,057",29770988,631,0,465615138
2014,SINGAPORE TELECOMMUNICATIONS LIMITED,Singapore,Post and telecommunications 64,-1.28,-9.11,157197554,-41413,2013982,466021,"-6,944",215021,2312180,"11,688",3,162241426
2014,MCMILLAN SHAKESPEARE LTD,Australia,Activities auxiliary to financial intermediation 67,-0.24,-0.92,669164,-175,"-8,847","-2,064",-30,-579,"-3,629",53,6,684434
2017,SK HYNIX INCORPORATION,South Korea,Manufacture of electrical machinery and apparatus n.e.c. 31,-5.73,-12.57,1561030391,356796,20726169,4859094,"-64,907",102351,27079381,"-1,435",0,1614220524
2016,CONSTRUCTIONS INDUSTRIELLES MEDITERRANEE SA,France,Real estate activities 70,-26.3,-1122.73,146549404,-33548,1949149,456970,"-6,103",-255,803552,99,0,149798883
2017,KIA MOTORS CORPORATION,South Korea,Manufacture of motor vehiclestrailers and semi-trailers 34,-0.76,-61.2,367487067,-83502,5030765,1113617,"-15,332",188346,5364810,"11,183",2,379272257
2015,COCA-COLA AMATIL LIMITED,Australia,Manufacture of beverages,-5.22,-38.95,86927835,-22088,1153201,268900,"-3,814","-53,375",108584428,"5,190",3,197008451
2010,MERCURY NZ LTD,New Zealand,Production of electricity nec,-19.68,-102.46,154155540,-45933,1980526,462346,"-8,771","-85,618",13146971,"31,007",7,169854699
2015,WIN SEMICONDUCTORS CORPORATION,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-10.3,-35.26,36180655,-8065,491862,110298,"-1,484","-1,140",743790,182,1,37537113
2013,YAMANA GOLD INCORPORATED,Canada,Mining of other non-ferrous metal ores and concentrates,-12.16,-75.39,171777022,-45700,2248878,526698,"-7,813","-97,605",57185799,"17,881",3,231871636
2017,GILDAN ACTIVEWEAR INC.,Canada,Manufacture of wearing apparel; dressing and dyeing of fur 18,-5.42,-35.17,176445075,-42619,2313020,538709,"-7,571","-37,077",13672511,"7,030",4,193049552
2018,DAIWA HOUSE REIT INVESTMENT CORP,Japan,Financial intermediationexcept insurance and pension funding 65,-2.78,-7.91,10375909,-2463,137686,"-32,260",-442,-629,"-56,724",266,2,10605846
2011,SONAECOM SGPS SA,Portugal,Post and telecommunications 64,-0.97,-10.55,10184501,-2469,135838,"-31,836",-439,"-1,076",495545,405,0,10851300
2010,SEIKO EPSON,Japan,Manufacture of office machinery and computers 30,-1.89,-110.32,220129499,-55281,2921893,683629,"-9,494","-6,970",5534445,"7,835",0,229333377
2011,SONOVA HOLDING AG,Switzerland,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.26,-1.37,4299299,-1015,"-55,548","-12,884",-179,"-27,799","-78,233",47,2,4474911
2018,SGS SA,Switzerland,Activities auxiliary to financial intermediation 67,-0.81,-5.31,50727341,-11763,673791,157783,"-2,131","-3,489",3567524,571,0,55143250
2012,PANORAMIC RESOURCES LIMITED,Australia,Quarrying of sand and clay,-7.66,0,10860829,-5445,141016,"-33,361",-673,"-5,989",7165801,"5,202",2,18207911
2018,TAYLOR WIMPEY PLC,United Kingdom,Construction 45,-0.15,-0.7,7300615,-2074,"-97,627","-22,721",-343,"-2,879",263414,"1,034",11,7688640
2015,KERING,France,Manufacture of wearing apparel; dressing and dyeing of fur 18,0.05,0.34,6617329,-1173,"33,143","26,248",-45,"-21,817",609088,"11,118",13,6055715
2017,TRIPOD TECHNOLOGY CORP,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-16.29,-157.73,234259758,-54136,3112572,728919,"-9,802","-4,919",12627649,"1,502",0,250796254
2014,EBARA CORPORATION,Japan,Manufacture of fabricated metal productsexcept machinery and equipment 28,-0.29,-3.99,10245160,-2853,136498,"-31,611",-476,"-2,909",290119,"1,337",11,10708290
2013,FACEBOOK INCORPORATION,United States,Recreationalcultural and sporting activities 92,-1.56,-4.38,120149141,-27249,1536960,359362,"-4,899","-8,182",632497,"-2,088",5,122720378
2015,SEAWORLD ENTERTAINMENT INC,United States,Recreationalcultural and sporting activities 92,-3.82,-32.4,51268601,-11677,669171,156683,"-2,113","-1,702",275638,-434,2,52386019
2015,YOKOGAWA ELECTRIC CORPORATION,Japan,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.94,-12.78,30555318,-7052,407270,"-95,020","-1,279","-1,287",624219,252,1,31691194
2014,CJ CHEILJEDANG CORP,South Korea,Processing of Food products nec,-0.86,-17.3,87372234,-20786,1153266,269400,"-3,715","-93,727",2984588,"2,340",3,91895376
2014,TECHNICOLOR SA,France,Recreationalcultural and sporting activities 92,-1.18,-10.72,45249510,-10671,605767,140506,"-3,806","-5,276",1742426,"1,143",1,47756818
2012,TAIFLEX SCIENTIFIC CO.LTD.,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-1.81,-18.18,4787213,-1181,"-63,207","-14,694",-207,-756,"-25,836",231,3,4892862
2016,OCI COMPANY LIMITED,South Korea,Petroleum Refinery,-34.11,-773.16,751869465,180272,9876329,2308313,"-31,684",742590,10785331,"10,233",1,775783751
2012,VEIDEKKE ASA,Norway,Construction 45,-0.48,-19.18,16716969,-4240,223066,"-51,773",-730,-950,254923,922,5,17251729
2012,BARRY CALLEBAUT AG,Switzerland,Processing of Food products nec,-1.25,-17.51,64121565,-15880,854570,200084,"-2,782","-5,231",867576,"2,897",5,66064792
2012,MILLENNIUM & COPTHORNE HOTELS PLC,United Kingdom,Other service activities 93,-7.78,-46.62,94922201,-21790,1262386,295957,"-3,958","-1,208",625681,172,0,97133009
2016,NIBE INDUSTRIER AB,Sweden,Construction 45,0.05,0.43,1213202,-2126,"8,936","2,280",-222,-48,365871,"7,154",17,863304
2018,CELANESE CORPORATION,United States,Chemicals nec,-12.13,-65.23,828143288,211791,10950502,2552320,"-35,886",384701,25956354,"34,907",5,868199935
2016,GOLDMAN SACHS GROUP INC,United States,Financial intermediationexcept insurance and pension funding 65,-0.02,-0.08,8303818,-7026,107696,"-24,405",-914,"-32,548","-42,780","15,226",17,8503962
2012,ACCOR,France,Other service activities 93,-5.61,-60.24,398296084,-91417,5298138,1242103,"-16,615","-2,754",12766844,977,0,417712978
2013,KONINKLIJKE KPN NV,Netherlands,Post and telecommunications 64,-0.09,-0.71,9584353,-2887,129540,"-30,293",-478,"-6,335",667801,"2,075",15,10419613
2013,COCA COLA HBC AG,Switzerland,Manufacture of beverages,0.32,5.36,45344270,-88265,524230,113392,"-6,943","-10,240",20016139,218054,2,26078359
2012,ROCKWELL AUTOMATIONINC.,United States,Manufacture of radiotelevision and communication equipment and apparatus 32,-0.6,-3.69,36344332,-9498,491555,112430,"-1,648","-7,782",835549,"4,009",7,37798785
2010,DUNELM GROUP PLC,United Kingdom,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.93,-6.07,7023048,-1682,"-93,180","-21,841",-300,"-1,084","-38,405",201,3,7179339
2017,TOD'S SPA,Italy,Manufacture of wearing apparel; dressing and dyeing of fur 18,-0.7,-6.02,5363818,-1259,"-71,762","-16,573",-227,"-2,751",2800812,140,1,8257061
2010,SUMITOMO HEAVY INDUSTRIES LTD,Japan,Manufacture of fabricated metal productsexcept machinery and equipment 28,-0.58,-10.62,35521954,-8366,488151,107613,"-1,506","-3,761",878600,"1,728",5,37008223
2017,NIPPON CARBON CO LTD,Japan,Manufacture of radiotelevision and communication equipment and apparatus 32,-21.7,-240.38,52684207,-12067,700861,164261,"-2,195",-118,323066,60,0,53886715
2015,SUNRISE COMMUNICATIONS GROUP AG,Switzerland,Post and telecommunications 64,-0.16,-2.13,3060299,-847,"-40,219","-9,345",-144,"-1,478","-16,429",455,9,3128305
2010,ANADOLU EFES BIRACILIK VE MALT SANAYII AS,Turkey,Manufacture of beverages,-7.5,-46.51,119056298,-25079,1310905,300250,"-6,214",306967,82212289,"-11,168",20,203229170
2012,STANDARD CHARTERED PLC,United Kingdom,Financial intermediationexcept insurance and pension funding 65,-0.47,-1.19,76974535,-18342,1024181,240070,"-3,276","-10,232",2184366,"1,858",2,80453143
2018,STMICROELECTRONICS NV,Switzerland,Manufacture of electrical machinery and apparatus n.e.c. 31,-3.99,-11.22,358663575,-82503,4775870,1117140,"-14,964","-1,937",7438975,"1,204",0,372093760
2015,AMDOCS LTD,United States,Computer and related activities 72,-0.6,-4.11,21241376,-5431,281925,"-65,724",-949,"-4,506",115556,"1,796",6,21713670
2016,ADVANCED CERAMIC X CORPORATION,Taiwan,Manufacture of radiotelevision and communication equipment and apparatus 32,-5,-9.77,2884442,-630,"-38,029","-8,692",-116,-503,"-15,283",-64,4,2947759
2014,SOUTHERN CO,United States,Production of electricity nec,-168.99,-691.96,30543090405,9006749,396025499,93375250,1373352,2463570,164211889,2033141,2,31207513574
2017,PERSIMMON PLC,United Kingdom,Construction 45,-0.19,-0.67,8538281,-2313,114029,"-26,585",-390,"-2,563","-46,743",920,9,8729984
2013,YFY INC,Taiwan,Paper,-26.73,0,470100214,115526,6161196,1443789,"-19,980",486995,29357686,"9,648",3,507675738
2010,QINETIQ GROUP,United Kingdom,Paper,-1.1,-20.51,8906740,-9833,"-46,276","-9,202","-1,082",389955,18562661,"19,387",9,27906363
2014,CAPITALAND COMMERCIAL TRUST,Singapore,Financial intermediationexcept insurance and pension funding 65,-3.47,-6.12,5924638,-1386,"-78,691","-18,441",-250,-417,857712,77,1,6881457
2018,CABOT CORPORATION,United States,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-31.46,-268.38,839943657,555614,9520919,2354846,"-51,202",2039405,165662846,289648,3,1019838843
2017,RICARDO PLC,United Kingdom,Activities auxiliary to financial intermediation 67,-1.2,-11.63,5588185,-1304,"-74,305","-17,419",-235,-457,"-30,630",61,1,5712475
2015,BEIJING CAPITAL INTERNATIONAL AIRPORT COMPANY LTD,China,Air transport 62,-7.79,-23.46,86053230,-19957,1136614,262699,"-3,658",-7,13109518,"3,325",4,100582358
2011,MRV ENGENHARIA E PARTICIPACOES S.A.,Brazil,Construction 45,-0.09,-0.41,1981066,-561,"-25,806","-6,003",-92,-434,"-10,555",255,10,2024262
2018,DIPLOMA PLC,United Kingdom,Renting of machinery and equipment without operator and of personal and household goods 71,-0.16,-1.09,993565,-257,"-13,220","-3,098",-44,-446,"-5,447",72,7,1016006
2010,CENTROTEC SUSTAINABLE AG,Germany,Construction 45,-0.69,-11.07,4316417,-1234,"-53,463","-12,469",-203,"-1,319","-30,904",649,8,4415360
2014,DOOSAN HEAVY INDUSTRIES CONSTRUCTION CO LTD,South Korea,Manufacture of machinery and equipment n.e.c. 29,-0.49,-10.84,79778682,-26182,1019546,239908,"-3,722",108846,899736,"8,257",14,82068365
2013,GETLINK SE,France,Other land transport,-3.5,-13.61,51067319,-11819,679746,159356,"-2,142",-  ,742882,441,1,52662823
2013,ALPHABET INC,United States,Recreationalcultural and sporting activities 92,-0.13,-0.54,74837202,-15389,531854,117288,"-2,339","-62,181",210665,"-15,868",7,75792786
2015,FREENET AG,Germany,Post and telecommunications 64,-0.73,-9.14,24022945,-5711,319613,"-74,873","-1,022","-3,882",136720,596,2,24564170
2015,MCDONALD'S CORP,United States,Other service activities 93,-2.75,-9.55,683593386,158675,9075321,2119504,"-28,675","-24,069",3726917,"7,390",0,698719158
2015,ORIENTAL UNION CHEMICAL CORPORATION,Taiwan,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-30.62,-797.58,122072476,-26371,1473868,341761,"-4,801",120380,5270070,"-4,642",18,129314369
2017,SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORPORATION,China,Manufacture of electrical machinery and apparatus n.e.c. 31,-2.94,-114.14,512358627,118612,6837583,1587060,"-21,487",156849,93401573,"6,804",1,614474986
2011,TDK CORPORATION,Japan,Manufacture of electrical machinery and apparatus n.e.c. 31,-2.84,-38.95,299471113,-69502,3990381,933244,"-12,568","-4,151",18789544,"3,004",1,323267501
2010,TUI AG,Germany,Other service activities 93,-4.15,-123.83,888548344,552876,13197917,3068115,"-78,231",114997,5434104,1089317,0,909905267
2014,LIAN HWA FOODS CORP,Taiwan,Processing of Food products nec,-2.95,-76.81,5380122,-1243,"-71,429","-16,735",-225,-94,"-29,426",36,0,5499238
2014,GRUPO MEXICO S.A.B DE C.V.,Mexico,Quarrying of sand and clay,-25.33,-73.74,1738729533,697739,21086800,5085712,"-79,647",234775,586215651,"43,042",1,2352086815
2010,TELIA COMPANY AB,Sweden,Post and telecommunications 64,-0.52,-2.33,80647941,-18802,1071475,251208,"-3,387","-14,435",923907,774,1,82930382
2017,SWEDBANK AB,Sweden,Financial intermediationexcept insurance and pension funding 65,-0.11,-0.27,7191719,-1759,"-95,284","-22,328",-310,"-2,378",313749,279,3,7627247
2017,NISOURCE INC.,United States,Production of electricity nec,-77.01,-409.79,3673651437,897086,47903019,11199480,157157,737147,19692027,120494,4,3754116858
2010,METSO OYJ,Finland,Manufacture of fabricated metal productsexcept machinery and equipment 28,-1.22,-16.77,86199498,-23079,1037202,239009,"-3,841",1830296,1893654,"9,393",1,91217185
2018,ADVANCED INFO SERVICE PUBLIC COMPANY LIMITED,Thailand,Post and telecommunications 64,-3.13,-13.31,160031489,-39042,2094048,488191,"-6,840","-96,213",1669177,"5,230",1,164419771
2013,ICA GRUPPEN AB,Sweden,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.6,-24.44,66443457,-17529,874761,204586,"-3,019","-18,891",5186303,"6,888",2,72741658
2017,REXEL S.A.,France,Renting of machinery and equipment without operator and of personal and household goods 71,-0.17,-4.01,26762755,-8154,359140,"-83,184","-1,320","-24,240",445730,"5,484",14,27679040
2012,IMERYS SA,France,Quarrying of sand and clay,-14.87,-134.62,643117810,237203,8541604,2012334,"-34,589","-42,118",107879930,192285,1,761673303
2013,ACCOR,France,Other service activities 93,-7.12,-73.58,502380020,115209,6682390,1566638,"-20,946","-2,668",32766517,946,0,543533441
2012,BANG & OLUFSEN AS,Denmark,Computer and related activities 72,-0.41,-10.55,2142242,-493,"-28,126","-6,590",-89,-100,"-11,601",-3,1,2189244
2015,BROTHER INDUSTRIES LIMITED,Japan,Manufacture of office machinery and computers 30,-0.65,-7.98,37186739,-8428,495998,114685,"-1,540","-4,413",359931,62,2,38171670
2014,INFOSYS LIMITED,India,Computer and related activities 72,-0.84,-3.43,49362252,-11529,656410,153806,"-2,078",-612,16069114,616,0,66255183
2018,SIEGFRIED HOLDING AG,Switzerland,Research and development 73,-2.09,-23.81,15181146,-3787,203787,"-46,937",-667,"-3,657",1399777,"1,068",1,16838691
2010,HOYA CORPORATION,Japan,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-2.18,-14,107231320,-25453,1427221,334205,"-4,542","-1,460",1996339,"2,003",1,111018537
2014,DUKE ENERGY CORP,United States,Production of electricity nec,-190.86,-857.83,29572520622,8333886,385098924,90645331,1324038,3191688,15603432155,2042379,1,45662504265
2014,NTPC LIMITED,India,Production of electricity by hydro,-1105.62,-5813.47,36044684896,19154913,461838438,109991882,2220757,"-21,013",1.01E+11,16095176,0,1.38E+11
2015,MERLIN PROPERTIES SOCIMI SA,Spain,Financial intermediationexcept insurance and pension funding 65,-3.97,-6.61,3201359,-745,"-42,603","-9,985",-135,-139,5989005,36,0,9243935
2013,MILLENNIUM & COPTHORNE HOTELS PLC,United Kingdom,Other service activities 93,-5.6,-24.21,94011817,-21608,1250263,293112,"-3,922","-1,599",654749,227,0,96236843
2015,NIEN MADE ENTERPRISE CO LTD,Taiwan,Manufacture of furniture; manufacturing n.e.c. 36,-5.4,-25.35,26958224,-6269,358820,"-83,768","-1,132",-619,147298,323,1,27555808
2010,INFIGEN ENERGY,Australia,Production of electricity by solar photovoltaic,-0.21,-2.2,654197,-244,"-8,029","-1,912",-31,-917,"-3,364",79,17,668616
2016,GOL LINHAS AEREAS INTELIGENTES S.A.,Brazil,Air transport 62,-35.18,-747.48,1043236978,246733,13620537,3175055,"-97,592",201686,5582790,"25,437",5,1066135934
2015,BNK FINANCIAL GROUP INC,South Korea,Financial intermediationexcept insurance and pension funding 65,-0.3,-1.4,9140733,-2394,121842,"-28,547",-411,"-5,622",517185,789,8,9815944
2018,ENPRO INDUSTRIESINC.,United States,Manufacture of fabricated metal productsexcept machinery and equipment 28,-2.1,-20.24,29561911,-6570,363370,"-83,793","-1,171",680608,1483017,-546,11,32180985
2011,BEST BUY CO.INC.,United States,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.55,-12,271227601,-68648,3611421,846000,"-12,031","-37,867",1487471,"19,736",6,277271302
2016,REDEFINE PROPERTIES LIMITED,South Africa,Financial intermediationexcept insurance and pension funding 65,-16.14,-49.98,15861310,-3625,210793,"-49,399",-660,"-1,157",62271217,-6,0,78398168
2017,SK TELECOM CO LTD,South Korea,Post and telecommunications 64,-1.67,-19.09,266539465,-62405,3545778,830881,"-11,253","-18,314",2418008,"4,285",1,273421819
2014,ALPS ALPINE CO LTD,Japan,Manufacture of electrical machinery and apparatus n.e.c. 31,-1.16,-27.86,64534149,-15396,862997,200891,"-2,751","-2,604",665260,"1,884",3,66282164
2017,HUTCHISON PORT HOLDINGS TRUST,Hong Kong,Sea and coastal water transport,-37.98,-122.67,30725520,-44251,229454,"50,870","-3,645",68527026,"90,262","67,918",8,98861938
2015,STRAUSS GROUP LTD,Israel,Processing of Food products nec,-5.22,-70.13,39631333,-14783,485023,113546,"-2,117","-31,968",29258486,"4,041",11,69533215
2013,NISSHIN SEIFUN GROUP INCORPORATED,Japan,Processing of Food products nec,-2.22,-46.47,91598538,-22953,1218858,284994,"-4,011","-9,016",2994431,"5,225",5,96127575
2015,YOUNG OPTICS INC.,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-1.46,-65.89,1931743,-490,"-25,433","-5,893",-85,-423,"-10,361",129,4,1974299
2017,CONSTELLIUM NV,France,Mining of other non-ferrous metal ores and concentrates,-7.89,-162.09,434315448,104748,5518223,1256176,"-18,378",5610218,49562077,"22,356",19,496362911
2014,MARKS AND SPENCER GROUP PLC,United Kingdom,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.46,-7.27,71352818,-17753,944761,221412,"-3,113","-20,377",687405,"3,785",2,73243855
2013,MAZDA MOTOR CORPORATION,Japan,Manufacture of motor vehiclestrailers and semi-trailers 34,-1.03,-41.92,200406176,-47282,2668203,601627,"-8,419","-31,744",11388174,"5,786",7,215145838
2010,GEM DIAMONDS LIMITED,United Kingdom,Quarrying of sand and clay,-12.74,-69.89,11804445,-4284,136935,"-32,574",-545,112137,9584158,907,8,21674171
2014,BANCO SABADELL,Spain,Financial intermediationexcept insurance and pension funding 65,-0.26,-1.8,2763590,-1110,"-37,742","-8,729",-166,"-5,277",22018667,"1,349",5,24833933
2016,BRICKWORKS LIMITED,Australia,Quarrying of sand and clay,-20.95,-268.58,90779450,-29578,1197123,281555,"-4,435","-17,836",21660754,"15,492",1,113955240
2018,MITSUBISHI ELECTRIC CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. 29,-1.07,-13.97,374863219,-91435,5027424,1168764,"-16,292","-34,287",49875844,"19,735",11,431057529
2012,SNAM SPA,Italy,Production of electricity by petroleum and other oil derivatives,-12.82,-23.78,636544326,180230,8126435,1914591,"-27,656",1310421,11255536,"18,071",3,659341123
2012,BANK OF NEW YORK MELLON CORP.,United States,Financial intermediationexcept insurance and pension funding 65,-0.41,-1.62,62545969,-16056,830903,194515,"-2,797","-11,125",304633,"5,204",7,63900794
2011,NATIONAL PEROXIDE LIMITED,India,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-48.62,-105.83,16304589,-3743,216808,"-50,832",-680,-39,"-89,386",24,0,16666053
2013,PPC LTD,South Africa,Quarrying of sand and clay,-162.32,-704.13,1257772864,368078,16738860,3916336,"-61,224",2125910,6884584,235644,3,1287632212
2010,TXC CORPORATION,Taiwan,Manufacture of electrical machinery and apparatus n.e.c. 31,-1.78,-12.73,5747255,-1431,"-75,813","-17,605",-250,"-1,022","-30,954",312,3,5874019
2013,PETROLEO BRASILEIRO SA PETROBRAS,Brazil,Extraction of crude petroleum and services related to crude oil extractionexcluding surveying,-11.03,-104.37,14015194413,6316567,195823668,43920195,878346,14403989,30739614,7717603,1,14238079962
2016,SUEZ SA,France,Production of electricity nec,-14.23,-237.67,2251028444,560412,30093971,7053887,"-98,849",-  ,12402852,134912,0,2301103502
2015,AMADEUS IT GROUP SA,Spain,Computer and related activities 72,-0.39,-1.41,9653193,-2411,128756,"-30,162",-424,"-1,801",6583597,590,3,16399755
2013,FAR EASTONE TELECOMMUNICATIONS COMPANY LIMITED,Taiwan,Post and telecommunications 64,-1.91,-11.05,55131176,-12720,733005,171588,"-2,307","-1,665",1184055,392,0,57236122
2012,BORAL LIMITED,Australia,Quarrying of sand and clay,-19.41,-621.75,879400840,259941,11881389,2778050,"-43,275",123432,55874773,176088,1,950185611
2011,ARCA CONTINENTAL SAB DE CV,Mexico,Manufacture of beverages,3.92,28.43,239089613,-36879,2823450,680932,-813,106534,116776363,286339,6,125959745
2017,KUBOTA CORPORATION,Japan,Manufacture of machinery and equipment n.e.c. 29,-1.29,-11.35,196139172,-46088,2625348,609692,"-8,308","-13,201",818108,"4,675",2,200255243
2015,KERRY PROPERTIES LIMITED,Hong Kong,Real estate activities 70,-3.33,-12.17,39425137,-9223,521726,122191,"-1,652","-5,661",4530047,272,1,44615364
2018,ABOITIZ EQUITY VENTURES INC.,Philippines,Activities of membership organisation n.e.c. 91,-23.11,-110.3,801992150,180905,10331629,2421911,"-32,568",754090,7793091,"-19,883",4,823526227
2017,CHEMOURS CO,United States,Petroleum Refinery,-58.93,-339.89,3563986505,853373,46956363,10994171,149808,795690,19862824,"31,514",0,3643567219
2015,CRODA INTERNATIONAL PLC,United Kingdom,Chemicals nec,-1.81,-7.44,26269742,-22033,305983,"-74,565","-2,063","-32,917",2244546,"20,997",5,28930853
2016,ASM INTERNATIONAL NV,Netherlands,Manufacture of electrical machinery and apparatus n.e.c. 31,-0.83,-5.53,5030544,-1265,"-66,712","-15,515",-222,"-4,836",127540,347,5,5246287
2017,ALLREAL HOLDING AG,Switzerland,Real estate activities 70,-1.03,-3.85,6281866,-1454,"-83,473","-19,553",-264,-341,165910,59,0,6552800
2014,ROGERS COMMUNICATIONS INC,Canada,Post and telecommunications 64,-0.4,-1.83,43465161,-13704,590664,138217,"-2,241",384078,343836,"11,381",17,44926522
2015,DUNELM GROUP PLC,United Kingdom,Retail tradeexcept of motor vehicles and motorcycles; repair of personal and household goods 52,-0.72,-4.92,8699991,-2109,115356,"-27,038",-374,"-1,697","-47,542",315,3,8893792
2014,STRAUMANN HOLDING AG,Switzerland,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.22,-1.08,1487338,-354,"-19,088","-4,416",-62,"-11,803","-57,862",20,3,1580904
2015,KONECRANES ABP,Finland,Manufacture of fabricated metal productsexcept machinery and equipment 28,-0.85,-17.93,18620419,-5351,212185,"-48,664",-857,584362,197087,"2,999",0,19665926
2014,KONICA MINOLTA INC,Japan,Manufacture of office machinery and computers 30,-1.62,-26.32,123889563,-28607,1655073,384503,"-5,194","-5,388",1674039,"1,561",0,127640807
2016,MEYER BURGER TECHNOLOGY AG,Switzerland,Manufacture of electrical machinery and apparatus n.e.c. 31,-0.52,0,1329095,-325,"-17,959","-4,103",-57,-105,975302,65,2,2326882
2013,ALLIANCE DATA SYSTEMS CORPORATION,United States,Computer and related activities 72,-0.53,-2.1,22561838,-5731,299488,"-69,843","-1,003","-4,492",122799,"1,790",6,23063404
2015,SMITH & NEPHEW PLC,United Kingdom,Manufacture of medicalprecision and optical instrumentswatches and clocks 33,-0.55,-3.4,24324371,-6749,318733,"-74,407","-1,128","-68,656",549109,"3,181",9,25339971
2011,ORICA LIMITED,Australia,Mining of chemical and fertilizer mineralsproduction of saltother mining and quarrying n.e.c.,-11.99,-82.03,688788358,189263,9266153,2169628,"-32,276","-39,785",59687135,"94,899",0,760077699
2012,WEIR GROUP PLC,United Kingdom,Manufacture of fabricated metal productsexcept machinery and equipment 28,-1.53,-8.68,56143845,-14224,714238,166290,"-2,432",374583,5677473,"3,349",7,63089736
2014,TAIWAN PULP & PAPER CORPORATION,Taiwan,Paper,-20.78,-436.28,40256186,-10185,524293,122835,"-1,726","-59,421",3488307,"1,177",4,44461775
2010,NIPPON SHOKUBAI COMPANY LIMITED,Japan,Chemicals nec,-10.45,-182,303017912,-68579,4075079,919218,"-12,535",280126,6412835,"3,791",5,314782493
